raw_timestamp,map,game_round,event_type,event_details
1742105719800,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9408480525016784, 'x': 271, 'y': 299, 'width': 77, 'height': 79, 'box_area': 6083, 'center_x': 309.5, 'center_y': 338.5, 'diff_height': 2.0, 'position_of_object': [271, 299, 77, 79], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105719818,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9049463272094728, 'x': 273, 'y': 296, 'width': 75, 'height': 84, 'box_area': 6300, 'center_x': 310.5, 'center_y': 338.0, 'diff_height': 5.0, 'position_of_object': [273, 296, 75, 84], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105719834,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9179993271827698, 'x': 275, 'y': 296, 'width': 74, 'height': 84, 'box_area': 6216, 'center_x': 312.0, 'center_y': 338.0, 'diff_height': 0.0, 'position_of_object': [275, 296, 74, 84], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105719851,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.876827597618103, 'x': 274, 'y': 295, 'width': 76, 'height': 86, 'box_area': 6536, 'center_x': 312.0, 'center_y': 338.0, 'diff_height': 2.0, 'position_of_object': [274, 295, 76, 86], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105719867,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5415849089622498, 'x': 274, 'y': 298, 'width': 80, 'height': 86, 'box_area': 6880, 'center_x': 314.0, 'center_y': 341.0, 'diff_height': 0.0, 'position_of_object': [274, 298, 80, 86], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105719902,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6830102205276489, 'x': 273, 'y': 302, 'width': 79, 'height': 78, 'box_area': 6162, 'center_x': 312.5, 'center_y': 341.0, 'diff_height': -8.0, 'position_of_object': [273, 302, 79, 78], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105719919,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5844871997833252, 'x': 273, 'y': 304, 'width': 79, 'height': 76, 'box_area': 6004, 'center_x': 312.5, 'center_y': 342.0, 'diff_height': -2.0, 'position_of_object': [273, 304, 79, 76], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720070,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6028673052787781, 'x': 284, 'y': 309, 'width': 65, 'height': 94, 'box_area': 6110, 'center_x': 316.5, 'center_y': 356.0, 'diff_height': 18.0, 'position_of_object': [284, 309, 65, 94], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720086,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7468166947364807, 'x': 284, 'y': 307, 'width': 64, 'height': 97, 'box_area': 6208, 'center_x': 316.0, 'center_y': 355.5, 'diff_height': 3.0, 'position_of_object': [284, 307, 64, 97], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720102,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7792516946792603, 'x': 285, 'y': 309, 'width': 63, 'height': 95, 'box_area': 5985, 'center_x': 316.5, 'center_y': 356.5, 'diff_height': -2.0, 'position_of_object': [285, 309, 63, 95], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720119,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7799713015556335, 'x': 289, 'y': 312, 'width': 57, 'height': 95, 'box_area': 5415, 'center_x': 317.5, 'center_y': 359.5, 'diff_height': 0.0, 'position_of_object': [289, 312, 57, 95], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720135,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8097205758094788, 'x': 291, 'y': 320, 'width': 54, 'height': 86, 'box_area': 4644, 'center_x': 318.0, 'center_y': 363.0, 'diff_height': -9.0, 'position_of_object': [291, 320, 54, 86], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720151,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6414321660995483, 'x': 289, 'y': 315, 'width': 57, 'height': 93, 'box_area': 5301, 'center_x': 317.5, 'center_y': 361.5, 'diff_height': 7.0, 'position_of_object': [289, 315, 57, 93], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
