raw_timestamp,map,game_round,event_type,event_details
1742106245551,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'enemy', 'confidence': 0.7154744267463684, 'x': 302, 'y': 287, 'width': 43, 'height': 27, 'box_area': 1161, 'center_x': 323.5, 'center_y': 300.5, 'diff_height': 0.0, 'position_of_object': [302, 287, 43, 27], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 1}""}"
1742106246211,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.5075118541717529, 'x': 280, 'y': 297, 'width': 61, 'height': 19, 'box_area': 1159, 'center_x': 310.5, 'center_y': 306.5, 'diff_height': -8.0, 'position_of_object': [280, 297, 61, 19], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247599,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.5835599899291992, 'x': 557, 'y': 281, 'width': 81, 'height': 126, 'box_area': 10206, 'center_x': 597.5, 'center_y': 344.0, 'diff_height': 107.0, 'position_of_object': [557, 281, 81, 126], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247616,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.974013090133667, 'x': 530, 'y': 276, 'width': 118, 'height': 131, 'box_area': 15458, 'center_x': 589.0, 'center_y': 341.5, 'diff_height': 5.0, 'position_of_object': [530, 276, 118, 131], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247634,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9536637663841248, 'x': 504, 'y': 290, 'width': 118, 'height': 106, 'box_area': 12508, 'center_x': 563.0, 'center_y': 343.0, 'diff_height': -25.0, 'position_of_object': [504, 290, 118, 106], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247650,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9823399782180786, 'x': 492, 'y': 287, 'width': 119, 'height': 119, 'box_area': 14161, 'center_x': 551.5, 'center_y': 346.5, 'diff_height': 13.0, 'position_of_object': [492, 287, 119, 119], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247668,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9606159329414368, 'x': 460, 'y': 275, 'width': 137, 'height': 134, 'box_area': 18358, 'center_x': 528.5, 'center_y': 342.0, 'diff_height': 15.0, 'position_of_object': [460, 275, 137, 134], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247684,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9848975539207458, 'x': 441, 'y': 283, 'width': 132, 'height': 123, 'box_area': 16236, 'center_x': 507.0, 'center_y': 344.5, 'diff_height': -11.0, 'position_of_object': [441, 283, 132, 123], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247701,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.7827563881874084, 'x': 434, 'y': 282, 'width': 107, 'height': 134, 'box_area': 14338, 'center_x': 487.5, 'center_y': 349.0, 'diff_height': 11.0, 'position_of_object': [434, 282, 107, 134], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247717,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9491634368896484, 'x': 413, 'y': 288, 'width': 104, 'height': 131, 'box_area': 13624, 'center_x': 465.0, 'center_y': 353.5, 'diff_height': -3.0, 'position_of_object': [413, 288, 104, 131], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247735,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.956413209438324, 'x': 393, 'y': 298, 'width': 113, 'height': 111, 'box_area': 12543, 'center_x': 449.5, 'center_y': 353.5, 'diff_height': -20.0, 'position_of_object': [393, 298, 113, 111], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247752,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.8706264495849609, 'x': 368, 'y': 302, 'width': 100, 'height': 98, 'box_area': 9800, 'center_x': 418.0, 'center_y': 351.0, 'diff_height': -13.0, 'position_of_object': [368, 302, 100, 98], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247768,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9081321954727172, 'x': 361, 'y': 301, 'width': 97, 'height': 97, 'box_area': 9409, 'center_x': 409.5, 'center_y': 349.5, 'diff_height': -1.0, 'position_of_object': [361, 301, 97, 97], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247785,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.8350989818572998, 'x': 353, 'y': 305, 'width': 74, 'height': 80, 'box_area': 5920, 'center_x': 390.0, 'center_y': 345.0, 'diff_height': -17.0, 'position_of_object': [353, 305, 74, 80], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247818,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.8147718906402588, 'x': 278, 'y': 319, 'width': 108, 'height': 70, 'box_area': 7560, 'center_x': 332.0, 'center_y': 354.0, 'diff_height': -10.0, 'position_of_object': [278, 319, 108, 70], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247834,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.6510892510414124, 'x': 279, 'y': 315, 'width': 69, 'height': 62, 'box_area': 4278, 'center_x': 313.5, 'center_y': 346.0, 'diff_height': -8.0, 'position_of_object': [279, 315, 69, 62], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247884,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9791728854179382, 'x': 237, 'y': 310, 'width': 92, 'height': 79, 'box_area': 7268, 'center_x': 283.0, 'center_y': 349.5, 'diff_height': 17.0, 'position_of_object': [237, 310, 92, 79], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
1742106247901,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9640906453132628, 'x': 241, 'y': 301, 'width': 88, 'height': 94, 'box_area': 8272, 'center_x': 285.0, 'center_y': 348.0, 'diff_height': 15.0, 'position_of_object': [241, 301, 88, 94], 'detected_entities': ""{'armour': 0, 'ammo': 0, 'health': 1, 'weapon': 0, 'enemy': 0}""}"
