timestamp,gaze_x,gaze_y,confidence
1741840131.8415575,0.37395833333333334,0.9305555555555556,1.0
1741840132.0746295,0.4140625,0.9972222222222222,0.04
1741840132.18425,0.4114583333333333,0.9962962962962963,0.08
1741840132.304558,0.40677083333333336,0.9925925925925926,0.235
1741840132.8872297,0.9984375,0.4111111111111111,0.04
1741840132.9949532,0.9973958333333334,0.40370370370370373,0.15333333333333332
1741840133.0934193,0.9979166666666667,0.39814814814814814,0.09166666666666666
1741840133.196455,0.9984375,0.39444444444444443,0.04
1741840133.3106108,0.9927083333333333,0.325,0.7266666666666667
1741840133.4260402,0.3265625,0.7796296296296297,1.0
1741840133.766717,0.9927083333333333,0.6333333333333333,0.36
1741840133.864253,0.9234375,0.9731481481481481,1.0
1741840133.975677,0.8270833333333333,0.725925925925926,1.0
1741840134.0791636,0.740625,0.762962962962963,0.05333333333333334
1741840134.3977442,0.7890625,0.6768518518518518,1.0
1741840134.5092616,0.7203125,0.6435185185185185,1.0
1741840134.6094122,0.7322916666666667,0.8018518518518518,0.1
1741840134.7104542,0.7260416666666667,0.799074074074074,0.05333333333333334
1741840134.826187,0.7197916666666667,0.7953703703703704,0.14666666666666667
1741840134.9265451,0.9973958333333334,0.7083333333333334,0.5916666666666667
1741840135.2429326,0.5229166666666667,0.575,0.115
1741840135.3458843,0.46041666666666664,0.6074074074074074,0.06666666666666667
1741840135.477121,0.48020833333333335,0.5583333333333333,1.0
1741840135.5806546,0.4734375,0.5555555555555556,1.0
1741840135.6952198,0.4703125,0.5546296296296296,1.0
1741840135.8931334,0.4359375,0.5574074074074075,1.0
1741840136.0105293,0.4234375,0.5592592592592592,1.0
1741840136.1106994,0.4973958333333333,0.4564814814814815,0.16
1741840136.3271663,0.41354166666666664,0.48148148148148145,1.0
1741840136.4306643,0.21770833333333334,0.41759259259259257,0.8633333333333333
1741840136.5285592,0.10989583333333333,0.32407407407407407,0.6766666666666666
1741840136.6271372,0.06510416666666667,0.27685185185185185,0.05333333333333334
1741840136.8584747,0.1359375,0.31574074074074077,1.0
1741840136.9617329,0.12864583333333332,0.3148148148148148,1.0
1741840137.0591016,0.12395833333333334,0.3148148148148148,1.0
1741840137.1774342,0.1203125,0.31203703703703706,1.0
1741840137.281249,0.11614583333333334,0.3101851851851852,0.93
1741840137.3941836,0.0640625,0.2490740740740741,0.51
1741840137.4937308,0.06770833333333333,0.2518518518518518,0.49
1741840137.5943677,0.1015625,0.3037037037037037,0.08
1741840137.6968462,0.096875,0.29814814814814816,0.12
1741840137.7992048,0.1015625,0.2953703703703704,0.06666666666666667
1741840138.0130646,0.5458333333333333,0.5333333333333333,1.0
1741840138.1265244,0.8348958333333333,0.47129629629629627,1.0
1741840138.962239,0.8979166666666667,0.9305555555555556,0.12
1741840139.1811213,0.4739583333333333,0.737037037037037,1.0
1741840139.4183645,0.834375,0.7,1.0
1741840139.5311196,0.7994791666666666,0.6527777777777778,0.05333333333333334
1741840139.747598,0.7963541666666667,0.7138888888888889,1.0
1741840139.8673174,0.8010416666666667,0.7092592592592593,1.0
