raw_timestamp,map,game_round,event_type,event_details
1742106245551,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'enemy', 'confidence': 0.7154744, 'x': 302, 'y': 287, 'width': 43, 'height': 27, 'box_area': 1161, 'center_x': 323.5, 'center_y': 300.5, 'diff_height': 0.0, 'position_of_object': [302, 287, 43, 27]}"
1742106246211,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.50751185, 'x': 280, 'y': 297, 'width': 61, 'height': 19, 'box_area': 1159, 'center_x': 310.5, 'center_y': 306.5, 'diff_height': -8.0, 'position_of_object': [280, 297, 61, 19]}"
1742106247599,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.58356, 'x': 557, 'y': 281, 'width': 81, 'height': 126, 'box_area': 10206, 'center_x': 597.5, 'center_y': 344.0, 'diff_height': 107.0, 'position_of_object': [557, 281, 81, 126]}"
1742106247616,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9740131, 'x': 530, 'y': 276, 'width': 118, 'height': 131, 'box_area': 15458, 'center_x': 589.0, 'center_y': 341.5, 'diff_height': 5.0, 'position_of_object': [530, 276, 118, 131]}"
1742106247616,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.95959836, 'x': 537, 'y': 280, 'width': 110, 'height': 126, 'box_area': 13860, 'center_x': 592.0, 'center_y': 343.0, 'diff_height': -5.0, 'position_of_object': [537, 280, 110, 126]}"
1742106247634,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.95366377, 'x': 504, 'y': 290, 'width': 118, 'height': 106, 'box_area': 12508, 'center_x': 563.0, 'center_y': 343.0, 'diff_height': -20.0, 'position_of_object': [504, 290, 118, 106]}"
1742106247650,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.98234, 'x': 492, 'y': 287, 'width': 119, 'height': 119, 'box_area': 14161, 'center_x': 551.5, 'center_y': 346.5, 'diff_height': 13.0, 'position_of_object': [492, 287, 119, 119]}"
1742106247668,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.96061593, 'x': 460, 'y': 275, 'width': 137, 'height': 134, 'box_area': 18358, 'center_x': 528.5, 'center_y': 342.0, 'diff_height': 15.0, 'position_of_object': [460, 275, 137, 134]}"
1742106247684,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.98489755, 'x': 441, 'y': 283, 'width': 132, 'height': 123, 'box_area': 16236, 'center_x': 507.0, 'center_y': 344.5, 'diff_height': -11.0, 'position_of_object': [441, 283, 132, 123]}"
1742106247701,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.7827564, 'x': 434, 'y': 282, 'width': 107, 'height': 134, 'box_area': 14338, 'center_x': 487.5, 'center_y': 349.0, 'diff_height': 11.0, 'position_of_object': [434, 282, 107, 134]}"
1742106247701,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.6548433, 'x': 433, 'y': 292, 'width': 124, 'height': 120, 'box_area': 14880, 'center_x': 495.0, 'center_y': 352.0, 'diff_height': -14.0, 'position_of_object': [433, 292, 124, 120]}"
1742106247717,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.94916344, 'x': 413, 'y': 288, 'width': 104, 'height': 131, 'box_area': 13624, 'center_x': 465.0, 'center_y': 353.5, 'diff_height': 11.0, 'position_of_object': [413, 288, 104, 131]}"
1742106247735,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9564132, 'x': 393, 'y': 298, 'width': 113, 'height': 111, 'box_area': 12543, 'center_x': 449.5, 'center_y': 353.5, 'diff_height': -20.0, 'position_of_object': [393, 298, 113, 111]}"
1742106247752,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.87062645, 'x': 368, 'y': 302, 'width': 100, 'height': 98, 'box_area': 9800, 'center_x': 418.0, 'center_y': 351.0, 'diff_height': -13.0, 'position_of_object': [368, 302, 100, 98]}"
1742106247768,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9081322, 'x': 361, 'y': 301, 'width': 97, 'height': 97, 'box_area': 9409, 'center_x': 409.5, 'center_y': 349.5, 'diff_height': -1.0, 'position_of_object': [361, 301, 97, 97]}"
1742106247785,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.835099, 'x': 353, 'y': 305, 'width': 74, 'height': 80, 'box_area': 5920, 'center_x': 390.0, 'center_y': 345.0, 'diff_height': -17.0, 'position_of_object': [353, 305, 74, 80]}"
1742106247818,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.8147719, 'x': 278, 'y': 319, 'width': 108, 'height': 70, 'box_area': 7560, 'center_x': 332.0, 'center_y': 354.0, 'diff_height': -10.0, 'position_of_object': [278, 319, 108, 70]}"
1742106247818,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.76474535, 'x': 295, 'y': 313, 'width': 71, 'height': 63, 'box_area': 4473, 'center_x': 330.5, 'center_y': 344.5, 'diff_height': -7.0, 'position_of_object': [295, 313, 71, 63]}"
1742106247834,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.65108925, 'x': 279, 'y': 315, 'width': 69, 'height': 62, 'box_area': 4278, 'center_x': 313.5, 'center_y': 346.0, 'diff_height': -1.0, 'position_of_object': [279, 315, 69, 62]}"
1742106247884,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9791729, 'x': 237, 'y': 310, 'width': 92, 'height': 79, 'box_area': 7268, 'center_x': 283.0, 'center_y': 349.5, 'diff_height': 17.0, 'position_of_object': [237, 310, 92, 79]}"
1742106247884,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.85656327, 'x': 239, 'y': 310, 'width': 77, 'height': 72, 'box_area': 5544, 'center_x': 277.5, 'center_y': 346.0, 'diff_height': -7.0, 'position_of_object': [239, 310, 77, 72]}"
1742106247901,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.96409065, 'x': 241, 'y': 301, 'width': 88, 'height': 94, 'box_area': 8272, 'center_x': 285.0, 'center_y': 348.0, 'diff_height': 22.0, 'position_of_object': [241, 301, 88, 94]}"
1742106247901,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9196189, 'x': 239, 'y': 301, 'width': 79, 'height': 81, 'box_area': 6399, 'center_x': 278.5, 'center_y': 341.5, 'diff_height': -13.0, 'position_of_object': [239, 301, 79, 81]}"
1742106247917,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9870337, 'x': 207, 'y': 304, 'width': 106, 'height': 84, 'box_area': 8904, 'center_x': 260.0, 'center_y': 346.0, 'diff_height': 3.0, 'position_of_object': [207, 304, 106, 84]}"
1742106247917,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.5487934, 'x': 215, 'y': 297, 'width': 90, 'height': 94, 'box_area': 8460, 'center_x': 260.0, 'center_y': 344.0, 'diff_height': 10.0, 'position_of_object': [215, 297, 90, 94]}"
1742106247933,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.9888148, 'x': 239, 'y': 295, 'width': 86, 'height': 92, 'box_area': 7912, 'center_x': 282.0, 'center_y': 341.0, 'diff_height': -2.0, 'position_of_object': [239, 295, 86, 92]}"
1742106247933,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.8255241, 'x': 238, 'y': 288, 'width': 85, 'height': 98, 'box_area': 8330, 'center_x': 280.5, 'center_y': 337.0, 'diff_height': 6.0, 'position_of_object': [238, 288, 85, 98]}"
1742106247951,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.984495, 'x': 246, 'y': 289, 'width': 88, 'height': 99, 'box_area': 8712, 'center_x': 290.0, 'center_y': 338.5, 'diff_height': 1.0, 'position_of_object': [246, 289, 88, 99]}"
1742106247951,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.575277, 'x': 247, 'y': 283, 'width': 82, 'height': 105, 'box_area': 8610, 'center_x': 288.0, 'center_y': 335.5, 'diff_height': 6.0, 'position_of_object': [247, 283, 82, 105]}"
1742106247968,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.99079657, 'x': 254, 'y': 301, 'width': 113, 'height': 87, 'box_area': 9831, 'center_x': 310.5, 'center_y': 344.5, 'diff_height': -18.0, 'position_of_object': [254, 301, 113, 87]}"
1742106247984,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.96632546, 'x': 287, 'y': 306, 'width': 79, 'height': 85, 'box_area': 6715, 'center_x': 326.5, 'center_y': 348.5, 'diff_height': -2.0, 'position_of_object': [287, 306, 79, 85]}"
1742106247984,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.5775878, 'x': 289, 'y': 293, 'width': 72, 'height': 92, 'box_area': 6624, 'center_x': 325.0, 'center_y': 339.0, 'diff_height': 7.0, 'position_of_object': [289, 293, 72, 92]}"
1742106248001,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.95026267, 'x': 294, 'y': 306, 'width': 80, 'height': 86, 'box_area': 6880, 'center_x': 334.0, 'center_y': 349.0, 'diff_height': -6.0, 'position_of_object': [294, 306, 80, 86]}"
1742106250616,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.8795835, 'x': 174, 'y': 221, 'width': 18, 'height': 21, 'box_area': 378, 'center_x': 183.0, 'center_y': 231.5, 'diff_height': -65.0, 'position_of_object': [174, 221, 18, 21]}"
1742106250633,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.8795835, 'x': 174, 'y': 221, 'width': 18, 'height': 21, 'box_area': 378, 'center_x': 183.0, 'center_y': 231.5, 'diff_height': 0.0, 'position_of_object': [174, 221, 18, 21]}"
1742106250650,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.8480455, 'x': 172, 'y': 221, 'width': 17, 'height': 21, 'box_area': 357, 'center_x': 180.5, 'center_y': 231.5, 'diff_height': 0.0, 'position_of_object': [172, 221, 17, 21]}"
1742106250672,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.80376226, 'x': 171, 'y': 221, 'width': 18, 'height': 22, 'box_area': 396, 'center_x': 180.0, 'center_y': 232.0, 'diff_height': 1.0, 'position_of_object': [171, 221, 18, 22]}"
1742106250695,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.70059526, 'x': 164, 'y': 222, 'width': 19, 'height': 23, 'box_area': 437, 'center_x': 173.5, 'center_y': 233.5, 'diff_height': 1.0, 'position_of_object': [164, 222, 19, 23]}"
1742106250695,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.7708073, 'x': 162, 'y': 220, 'width': 23, 'height': 25, 'box_area': 575, 'center_x': 173.5, 'center_y': 232.5, 'diff_height': 2.0, 'position_of_object': [162, 220, 23, 25]}"
1742106250723,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.55883104, 'x': 163, 'y': 223, 'width': 19, 'height': 22, 'box_area': 418, 'center_x': 172.5, 'center_y': 234.0, 'diff_height': -3.0, 'position_of_object': [163, 223, 19, 22]}"
1742106250740,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.6798616, 'x': 161, 'y': 221, 'width': 19, 'height': 25, 'box_area': 475, 'center_x': 170.5, 'center_y': 233.5, 'diff_height': 3.0, 'position_of_object': [161, 221, 19, 25]}"
1742106250740,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.6736987, 'x': 159, 'y': 219, 'width': 21, 'height': 27, 'box_area': 567, 'center_x': 169.5, 'center_y': 232.5, 'diff_height': 2.0, 'position_of_object': [159, 219, 21, 27]}"
1742106250757,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.7675595, 'x': 159, 'y': 224, 'width': 19, 'height': 22, 'box_area': 418, 'center_x': 168.5, 'center_y': 235.0, 'diff_height': -5.0, 'position_of_object': [159, 224, 19, 22]}"
1742106250774,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.60218966, 'x': 157, 'y': 224, 'width': 19, 'height': 21, 'box_area': 399, 'center_x': 166.5, 'center_y': 234.5, 'diff_height': -1.0, 'position_of_object': [157, 224, 19, 21]}"
1742106250791,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.61920667, 'x': 156, 'y': 224, 'width': 18, 'height': 22, 'box_area': 396, 'center_x': 165.0, 'center_y': 235.0, 'diff_height': 1.0, 'position_of_object': [156, 224, 18, 22]}"
1742106250807,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.6450098, 'x': 154, 'y': 225, 'width': 19, 'height': 23, 'box_area': 437, 'center_x': 163.5, 'center_y': 236.5, 'diff_height': 1.0, 'position_of_object': [154, 225, 19, 23]}"
1742106250807,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'health', 'confidence': 0.5728802, 'x': 152, 'y': 223, 'width': 23, 'height': 26, 'box_area': 598, 'center_x': 163.5, 'center_y': 236.0, 'diff_height': 3.0, 'position_of_object': [152, 223, 23, 26]}"
