raw_timestamp,map,game_round,event_type,event_details
1742105719851,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8768276, 'x': 274, 'y': 295, 'width': 76, 'height': 86, 'box_area': 6536, 'center_x': 312.0, 'center_y': 338.0, 'diff_height': 2.0, 'position_of_object': [274, 295, 76, 86]}"
1742105719867,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5415849, 'x': 274, 'y': 298, 'width': 80, 'height': 86, 'box_area': 6880, 'center_x': 314.0, 'center_y': 341.0, 'diff_height': 0.0, 'position_of_object': [274, 298, 80, 86]}"
1742105719902,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6830102, 'x': 273, 'y': 302, 'width': 79, 'height': 78, 'box_area': 6162, 'center_x': 312.5, 'center_y': 341.0, 'diff_height': -8.0, 'position_of_object': [273, 302, 79, 78]}"
1742105719919,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5844872, 'x': 273, 'y': 304, 'width': 79, 'height': 76, 'box_area': 6004, 'center_x': 312.5, 'center_y': 342.0, 'diff_height': -2.0, 'position_of_object': [273, 304, 79, 76]}"
1742105720070,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6028673, 'x': 284, 'y': 309, 'width': 65, 'height': 94, 'box_area': 6110, 'center_x': 316.5, 'center_y': 356.0, 'diff_height': 18.0, 'position_of_object': [284, 309, 65, 94]}"
1742105720086,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7468167, 'x': 284, 'y': 307, 'width': 64, 'height': 97, 'box_area': 6208, 'center_x': 316.0, 'center_y': 355.5, 'diff_height': 3.0, 'position_of_object': [284, 307, 64, 97]}"
1742105720102,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7792517, 'x': 285, 'y': 309, 'width': 63, 'height': 95, 'box_area': 5985, 'center_x': 316.5, 'center_y': 356.5, 'diff_height': -2.0, 'position_of_object': [285, 309, 63, 95]}"
1742105720119,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7799713, 'x': 289, 'y': 312, 'width': 57, 'height': 95, 'box_area': 5415, 'center_x': 317.5, 'center_y': 359.5, 'diff_height': 0.0, 'position_of_object': [289, 312, 57, 95]}"
1742105720135,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8097206, 'x': 291, 'y': 320, 'width': 54, 'height': 86, 'box_area': 4644, 'center_x': 318.0, 'center_y': 363.0, 'diff_height': -9.0, 'position_of_object': [291, 320, 54, 86]}"
1742105720151,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.64143217, 'x': 289, 'y': 315, 'width': 57, 'height': 93, 'box_area': 5301, 'center_x': 317.5, 'center_y': 361.5, 'diff_height': 7.0, 'position_of_object': [289, 315, 57, 93]}"
1742105720202,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5507848, 'x': 286, 'y': 318, 'width': 61, 'height': 96, 'box_area': 5856, 'center_x': 316.5, 'center_y': 366.0, 'diff_height': 3.0, 'position_of_object': [286, 318, 61, 96]}"
1742105720237,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.73690474, 'x': 289, 'y': 323, 'width': 56, 'height': 97, 'box_area': 5432, 'center_x': 317.0, 'center_y': 371.5, 'diff_height': 1.0, 'position_of_object': [289, 323, 56, 97]}"
1742105720253,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6237884, 'x': 285, 'y': 320, 'width': 62, 'height': 95, 'box_area': 5890, 'center_x': 316.0, 'center_y': 367.5, 'diff_height': -2.0, 'position_of_object': [285, 320, 62, 95]}"
1742105720253,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.94251937, 'x': 289, 'y': 323, 'width': 56, 'height': 97, 'box_area': 5432, 'center_x': 317.0, 'center_y': 371.5, 'diff_height': 2.0, 'position_of_object': [289, 323, 56, 97]}"
