player_ip,timestamp,yolo_obj,confidence,position_of_object
172.19.113.65,1742105718433,armour,0.81620383,"[278, 277, 88, 86]"
172.19.113.65,1742105718433,armour,0.7345099,"[277, 274, 79, 85]"
172.19.113.65,1742105718433,armour,0.5134761,"[279, 274, 85, 91]"
172.19.113.65,1742105718449,armour,0.67935675,"[266, 287, 101, 81]"
172.19.113.65,1742105718449,armour,0.6766447,"[275, 290, 78, 77]"
172.19.113.65,1742105718466,armour,0.9077931,"[280, 302, 65, 74]"
172.19.113.65,1742105718484,armour,0.5366913,"[278, 306, 70, 67]"
172.19.113.65,1742105718854,armour,0.5642426,"[279, 301, 72, 76]"
172.19.113.65,1742105718871,armour,0.57081956,"[280, 302, 74, 76]"
172.19.113.65,1742105718905,armour,0.52816224,"[281, 300, 70, 75]"
172.19.113.65,1742105719664,armour,0.600812,"[276, 305, 75, 66]"
172.19.113.65,1742105719681,armour,0.80691475,"[277, 307, 73, 64]"
172.19.113.65,1742105719698,armour,0.8311421,"[279, 305, 70, 66]"
172.19.113.65,1742105719714,armour,0.82959586,"[277, 305, 74, 68]"
172.19.113.65,1742105719732,armour,0.8100496,"[276, 301, 73, 72]"
172.19.113.65,1742105719748,armour,0.8534072,"[277, 300, 71, 73]"
172.19.113.65,1742105719765,armour,0.84312344,"[276, 299, 73, 77]"
172.19.113.65,1742105719783,armour,0.87978196,"[275, 299, 71, 77]"
172.19.113.65,1742105719800,armour,0.94084805,"[271, 299, 77, 79]"
172.19.113.65,1742105719818,armour,0.9049463,"[273, 296, 75, 84]"
172.19.113.65,1742105719834,armour,0.9179993,"[275, 296, 74, 84]"
172.19.113.65,1742105719851,armour,0.8768276,"[274, 295, 76, 86]"
172.19.113.65,1742105719867,armour,0.5415849,"[274, 298, 80, 86]"
172.19.113.65,1742105719902,armour,0.6830102,"[273, 302, 79, 78]"
172.19.113.65,1742105719919,armour,0.5844872,"[273, 304, 79, 76]"
172.19.113.65,1742105720070,armour,0.6028673,"[284, 309, 65, 94]"
172.19.113.65,1742105720086,armour,0.7468167,"[284, 307, 64, 97]"
172.19.113.65,1742105720102,armour,0.7792517,"[285, 309, 63, 95]"
172.19.113.65,1742105720119,armour,0.7799713,"[289, 312, 57, 95]"
172.19.113.65,1742105720135,armour,0.8097206,"[291, 320, 54, 86]"
172.19.113.65,1742105720151,armour,0.64143217,"[289, 315, 57, 93]"
172.19.113.65,1742105720202,armour,0.5507848,"[286, 318, 61, 96]"
172.19.113.65,1742105720237,armour,0.73690474,"[289, 323, 56, 97]"
172.19.113.65,1742105720253,armour,0.6237884,"[285, 320, 62, 95]"
172.19.113.65,1742105720253,armour,0.94251937,"[289, 323, 56, 97]"
172.19.113.65,1742105720253,armour,0.64588815,"[290, 323, 60, 102]"
172.19.113.65,1742105720271,armour,0.9317207,"[290, 322, 54, 102]"
172.19.113.65,1742105720271,armour,0.763112,"[289, 325, 63, 100]"
172.19.113.65,1742105720287,armour,0.9515302,"[290, 322, 53, 102]"
172.19.113.65,1742105720287,armour,0.7639843,"[288, 326, 66, 100]"
172.19.113.65,1742105720304,armour,0.9020418,"[289, 323, 56, 104]"
172.19.113.65,1742105720304,armour,0.8798514,"[288, 326, 67, 102]"
172.19.113.65,1742105720321,armour,0.8963894,"[288, 322, 57, 105]"
172.19.113.65,1742105720321,armour,0.76466435,"[284, 326, 73, 104]"
172.19.113.65,1742105720338,armour,0.91840476,"[289, 323, 55, 104]"
172.19.113.65,1742105720338,armour,0.7076887,"[284, 326, 73, 104]"
172.19.113.65,1742105720355,armour,0.5569452,"[279, 327, 84, 100]"
